广州

不锈钢 0  供应压力显著，价格存在回调压力
豆粕 1  粕类：开机继续提升，外盘下挫压制国内粕价昨日油厂豆粕报价整体上调，其中沿海区域油厂主流报价在3300-3370元/吨，广东3320涨10元/吨，江苏3300涨20元/吨，山东3350涨40元/吨，天津3370涨30元/吨。全国主要油厂豆粕成交42.38万吨，较上一交易日减少16.59万吨，其中现货成交20.28万吨，远月基差成交22.1万吨。开机方面，今日全国125家油厂开机率上升至57.24%。巴西植物油工业协会(Abiove)周二调整巴西2023年大豆产量预估至创纪录的1.603亿吨，之前预估为1.59亿吨，最终导致2024年大豆库存增加。Abiove并未对2024年大豆产量、出口和加工预估做出更改。该协会维持今年大豆产量预估在1.538亿吨不变。咨询机构DatagroGraos周二表示，截至4月5日，巴西2023/2024年度大豆销售量预计占预期产量的41.6%，之前一年同期为43%。美国农业部周一公布的周度每周作物生长报告显示，截至2024年4月14日当周，美国大豆种植率为3%，高于市场预期的2%，去年同期为3%，五年均值为1%。USDA4月供需报告美豆结转库存调增，巴西产量也未进一步下调，报告数据中性偏空，同时受美元上涨影响，市场进一步担心美豆需求，美豆震荡走弱。国内近期买船较快，后续到港及压榨预计将持续回升，2季度在不考虑政策端变化的前提下，预计供应格局趋于宽松。操作上，单边关注巴西上量带来的潜在利空，及美豆5、6月份播种期的天气炒作，单边存一定操作区间，临近交割，前期5-9反套策略建议平仓。
菜粕 1  粕类：开机继续提升，外盘下挫压制国内粕价昨日油厂豆粕报价整体上调，其中沿海区域油厂主流报价在3300-3370元/吨，广东3320涨10元/吨，江苏3300涨20元/吨，山东3350涨40元/吨，天津3370涨30元/吨。全国主要油厂豆粕成交42.38万吨，较上一交易日减少16.59万吨，其中现货成交20.28万吨，远月基差成交22.1万吨。开机方面，今日全国125家油厂开机率上升至57.24%。巴西植物油工业协会(Abiove)周二调整巴西2023年大豆产量预估至创纪录的1.603亿吨，之前预估为1.59亿吨，最终导致2024年大豆库存增加。Abiove并未对2024年大豆产量、出口和加工预估做出更改。该协会维持今年大豆产量预估在1.538亿吨不变。咨询机构DatagroGraos周二表示，截至4月5日，巴西2023/2024年度大豆销售量预计占预期产量的41.6%，之前一年同期为43%。美国农业部周一公布的周度每周作物生长报告显示，截至2024年4月14日当周，美国大豆种植率为3%，高于市场预期的2%，去年同期为3%，五年均值为1%。USDA4月供需报告美豆结转库存调增，巴西产量也未进一步下调，报告数据中性偏空，同时受美元上涨影响，市场进一步担心美豆需求，美豆震荡走弱。国内近期买船较快，后续到港及压榨预计将持续回升，2季度在不考虑政策端变化的前提下，预计供应格局趋于宽松。操作上，单边关注巴西上量带来的潜在利空，及美豆5、6月份播种期的天气炒作，单边存一定操作区间，临近交割，前期5-9反套策略建议平仓。
豆油 -1  油脂：马棕趋弱，连棕跟随调整受到CBOT豆油以及BMD棕油下跌的拖累，DCE豆油低开低走，跌幅超过1.5%。现货随盘下跌，因供应减少预期，以及五一前市场采购，导致了基差报价以稳为主，局部地区小幅调整。江苏张家港地区贸易商一级豆油现货价格7870元/吨，较昨日下降70元/吨，江苏地区工厂豆油4月现货基差最低报2405+290。广东广州港地区24度棕榈油现货价格8180元/吨，较昨日下跌30元/吨，广东地区工厂4月基差最低报2409+630。印度溶剂萃取商协会(SEA)周四在一份声明中表示，3月棕榈油进口量较上月下降约2.5%，至485,354吨，为2023年5月以来的最低水平。经纪商表示，受产量下滑以及出口增加的影响，最近几个月，棕榈油库存呈现下滑趋势，但随着产量的增加，这一趋势可能逆转；由于棕榈油价格上涨，印度等国的买家转向其他竞争植物油。船运调查机构ITS公布数据显示，马来西亚4月1-10日棕榈油出口量为431190吨，较3月1-10日出口的382640吨增加12.7%。而AmSpec的出口数据为425603吨，较3月1-10日出口的325543吨增加30.7%。SGS出口为370162吨，环比增加23.7%。马来西亚南部棕果厂商公会（SPPOMA）数据显示，4月1-15日马来西亚棕榈油产量环比下降22.27%，其中鲜果串（FFB）单产环比下降22.43%，出油率（OER）环比增加0.03%。棕榈油方面，马来西亚毛棕榈油期货弱势调整，受斋月结束后产量将会恢复季节性增长的影响，毛棕油期货仍有继续趋弱调整的压力。受季节性因素影响产量将会保持增长，同时出口增长也会因棕油性价比过低而放缓，这会打压毛棕油期货长线维持看弱为主。国内方面，大连棕榈油期货市场持续震荡趋弱调整，不排除受库存持续下降以及连豆油止跌反弹提振而跟随走强的机会。豆油方面，CBOT大豆期货上涨，NOPA数据显示，3月份该协会会员的大豆压榨量为创纪录的1.9641亿蒲，环比提高5.5%，同比提高5.7%。截至周日，美国大豆播种进度为3%，和去年同期持平，高于历史同期均值。目前来看，播种进度较快，不利市场开展天气炒作。CBOT大豆近期维持在1150-1180美分区间震荡调整格局不变。国内方面，现货方面，基差报价基本不变，局部地区略有调整。五一小长假将至，终端会有一定量的采购，不排除工厂库存减少的可能。豆油基差报价受到支撑，局部地区短线有小幅上涨的可能，随着五一节假结束，终端补货完毕，豆油基差报价才会受到工厂开机率提升至50%以上的影响，再度下跌。
菜油 -1  油脂：马棕趋弱，连棕跟随调整受到CBOT豆油以及BMD棕油下跌的拖累，DCE豆油低开低走，跌幅超过1.5%。现货随盘下跌，因供应减少预期，以及五一前市场采购，导致了基差报价以稳为主，局部地区小幅调整。江苏张家港地区贸易商一级豆油现货价格7870元/吨，较昨日下降70元/吨，江苏地区工厂豆油4月现货基差最低报2405+290。广东广州港地区24度棕榈油现货价格8180元/吨，较昨日下跌30元/吨，广东地区工厂4月基差最低报2409+630。印度溶剂萃取商协会(SEA)周四在一份声明中表示，3月棕榈油进口量较上月下降约2.5%，至485,354吨，为2023年5月以来的最低水平。经纪商表示，受产量下滑以及出口增加的影响，最近几个月，棕榈油库存呈现下滑趋势，但随着产量的增加，这一趋势可能逆转；由于棕榈油价格上涨，印度等国的买家转向其他竞争植物油。船运调查机构ITS公布数据显示，马来西亚4月1-10日棕榈油出口量为431190吨，较3月1-10日出口的382640吨增加12.7%。而AmSpec的出口数据为425603吨，较3月1-10日出口的325543吨增加30.7%。SGS出口为370162吨，环比增加23.7%。马来西亚南部棕果厂商公会（SPPOMA）数据显示，4月1-15日马来西亚棕榈油产量环比下降22.27%，其中鲜果串（FFB）单产环比下降22.43%，出油率（OER）环比增加0.03%。棕榈油方面，马来西亚毛棕榈油期货弱势调整，受斋月结束后产量将会恢复季节性增长的影响，毛棕油期货仍有继续趋弱调整的压力。受季节性因素影响产量将会保持增长，同时出口增长也会因棕油性价比过低而放缓，这会打压毛棕油期货长线维持看弱为主。国内方面，大连棕榈油期货市场持续震荡趋弱调整，不排除受库存持续下降以及连豆油止跌反弹提振而跟随走强的机会。豆油方面，CBOT大豆期货上涨，NOPA数据显示，3月份该协会会员的大豆压榨量为创纪录的1.9641亿蒲，环比提高5.5%，同比提高5.7%。截至周日，美国大豆播种进度为3%，和去年同期持平，高于历史同期均值。目前来看，播种进度较快，不利市场开展天气炒作。CBOT大豆近期维持在1150-1180美分区间震荡调整格局不变。国内方面，现货方面，基差报价基本不变，局部地区略有调整。五一小长假将至，终端会有一定量的采购，不排除工厂库存减少的可能。豆油基差报价受到支撑，局部地区短线有小幅上涨的可能，随着五一节假结束，终端补货完毕，豆油基差报价才会受到工厂开机率提升至50%以上的影响，再度下跌。
棕榈油 -1  油脂：马棕趋弱，连棕跟随调整受到CBOT豆油以及BMD棕油下跌的拖累，DCE豆油低开低走，跌幅超过1.5%。现货随盘下跌，因供应减少预期，以及五一前市场采购，导致了基差报价以稳为主，局部地区小幅调整。江苏张家港地区贸易商一级豆油现货价格7870元/吨，较昨日下降70元/吨，江苏地区工厂豆油4月现货基差最低报2405+290。广东广州港地区24度棕榈油现货价格8180元/吨，较昨日下跌30元/吨，广东地区工厂4月基差最低报2409+630。印度溶剂萃取商协会(SEA)周四在一份声明中表示，3月棕榈油进口量较上月下降约2.5%，至485,354吨，为2023年5月以来的最低水平。经纪商表示，受产量下滑以及出口增加的影响，最近几个月，棕榈油库存呈现下滑趋势，但随着产量的增加，这一趋势可能逆转；由于棕榈油价格上涨，印度等国的买家转向其他竞争植物油。船运调查机构ITS公布数据显示，马来西亚4月1-10日棕榈油出口量为431190吨，较3月1-10日出口的382640吨增加12.7%。而AmSpec的出口数据为425603吨，较3月1-10日出口的325543吨增加30.7%。SGS出口为370162吨，环比增加23.7%。马来西亚南部棕果厂商公会（SPPOMA）数据显示，4月1-15日马来西亚棕榈油产量环比下降22.27%，其中鲜果串（FFB）单产环比下降22.43%，出油率（OER）环比增加0.03%。棕榈油方面，马来西亚毛棕榈油期货弱势调整，受斋月结束后产量将会恢复季节性增长的影响，毛棕油期货仍有继续趋弱调整的压力。受季节性因素影响产量将会保持增长，同时出口增长也会因棕油性价比过低而放缓，这会打压毛棕油期货长线维持看弱为主。国内方面，大连棕榈油期货市场持续震荡趋弱调整，不排除受库存持续下降以及连豆油止跌反弹提振而跟随走强的机会。豆油方面，CBOT大豆期货上涨，NOPA数据显示，3月份该协会会员的大豆压榨量为创纪录的1.9641亿蒲，环比提高5.5%，同比提高5.7%。截至周日，美国大豆播种进度为3%，和去年同期持平，高于历史同期均值。目前来看，播种进度较快，不利市场开展天气炒作。CBOT大豆近期维持在1150-1180美分区间震荡调整格局不变。国内方面，现货方面，基差报价基本不变，局部地区略有调整。五一小长假将至，终端会有一定量的采购，不排除工厂库存减少的可能。豆油基差报价受到支撑，局部地区短线有小幅上涨的可能，随着五一节假结束，终端补货完毕，豆油基差报价才会受到工厂开机率提升至50%以上的影响，再度下跌。
MEG 0  乙二醇：显性库存累库预期，乙二醇震荡偏弱昨日乙二醇价格重心大幅下挫，市场买气明显回升。夜盘，受国际油价下跌拖累，叠加港口显性库存预期累积，乙二醇内盘价格弱势下行，基差大体持稳，本周现货基差在05-7~8元/吨；4月下基差在05+0-3元/吨。上午，乙二醇内盘价格震荡走弱，基差变化不大，本周现货基差在05-6~8元/吨，4月下基差在05+0~3元/吨；下午，受外围宏观和商品氛围走弱拖累，乙二醇内盘重心快速下跌，基差小幅走强，本周现货基差至05-4~5元/吨，下周现货基差至05+3~5元/吨。供应：乙二醇整体开工61.6%（-1.64%），其中煤制乙二醇开工63.65%（-2.26%）。库存：华东主港地区MEG港口库存约88.2万吨附近，环比上期+2.6万吨。需求：近期聚酯负荷仍有提升，加之部分数据上修，综合负荷提升至92.8%附近（+0.6%）。昨日江浙涤丝价格重心下跌，产销整体一般。短期加弹、织造依旧处于相对较好水平，对涤丝刚需消费形成利好支撑。但针织端高库存压力已经开始对负荷形成负反馈，江浙织造开机后市预期逐步走弱。涤丝工厂库存压力依旧在相对偏高水平下，产业链下游也缺乏利润，涤丝主动大幅拉涨困难，中期近随行就市跟随成本窄幅震荡为主。近期将迎来下游的采购节点，若有原料配合，短期价格或有小升。上周乙二醇整体开工率下降，且卫星石化另一套90万吨/年装置计划4月下旬检修两个月，而聚酯负荷走高至92.8%，4-5月乙二醇供需较预期好转，隐性库存有望去库，但本周港口累库，且本周乙二醇计划到船数量偏高，下周显现库存预期累积，预计短期乙二醇震荡偏弱。中期来看，在高油价下，煤价相对较低，煤制乙二醇竞争力显现，且多套煤制乙二醇装置在4月重启和国内多套检修装置在5-6月重启。另外，聚酯负荷继续提升空间有限，因5-7月终端传统需求淡季以及瓶片新产能逐步释放带来的负荷压力。中期乙二醇供需预期仍偏弱，预计上方依然承压。策略上，短期EG05关注4400附近支撑，中期EG09区间震荡对待，关注4500支撑。
塑料 0.7  LLDPE:盘面09基差持续走强据卓创资讯，截至4.16日，华北LLDPE膜料现货8385(+20)元/吨。截至4.16日，塑料L2409收盘8394，09基差-9。据卓创资讯，截至4.12日，中国PE装置周度开工77.5%（-0.7%）,PE下游加权周度开工45.6%(+0.1%)，4.16日两油日度早库85.5万吨(-2.5)。上游工厂挺价，盘面09基差走强，下游对现价有抵触但原料库存不高刚需补库意愿足，短期市场进入胶着，成本端原油亦进入高位调整期，继续关注地缘扰动，倾向认为原油、供给收缩驱动的上涨驱动尚未完全结束，维持L2409多配观点，建议低多参与。L2409多配持有



国投

原油 -0.7  隔夜油价延续震荡，API数据显示美国上周原油超预期累库408.9万桶，汽柴油小幅去库，数据偏利空。以色列与伊朗直接冲突的概率继续降低，但需关注美国对伊朗升级制裁的潜在影响。目前油价面临OPEC+闲置产能充裕及需求高价负反馈的威胁，但仍处地缘消息密集期，预计短期高位震荡，地缘扰动减弱后存回落压力。
铜 1  隔夜伦铜阴线震荡，IMF调高全球年度GDP增速0.1%至3.2％，且中国一季度经济回暖，未能抵过联储可能在更长时间延长高利率政策，美债收益率及美元指数走高压制铜价。同时美国新屋开工年化降至去年8月水平，工业生产也未超预期。昨日国内现铜76800元，换月后对交割月贴水200元，洋山铜溢价跌至24美元，精废价差继续走扩到3200元以上。市场关注智利铜会对今明两年铜矿预期的轮廓，目前主观仍倾向矿的供应中性偏乐观。秘鲁前两月在去年同期低基数影响下同比增加5.4%。少量空单背靠7.8万持有。
铝 0  隔夜沪铝窄幅波动。近期宏观主导有色行情，但产业反馈一般，现货贴水扩大，季节性去库速度慢于往年。周初铝价冲高可能已经交易出阶段性高点，有望回到震荡格局等待需求验证。
氧化铝 -0.7  氧化铝远期有边际宽松预期，但北方矿山复产不及预期，需求端有云南电解铝持续复产增量，短期仍可维持在紧平衡状态。有色连续拉涨后已现减仓回落姿态，氧化铝震荡中考虑逢高偏空参与。
锌 -1  通胀压力令鲍威尔再放鹰，有色和贵金属板块回调，沪锌隔夜回踩10日均线。基本面上，SMM锌锭社库进一步走高至21.82万吨，仍未看到库存拐点迹象，4月底国内北方矿山供应逐步恢复，“金三银四”旺季临近尾声，五一长假仍将带来短期的供大于求，空单继续持有，综合考虑成本因素，短线回调关注20日均线支撑。
铅 -0.5  沪铅主连最高反弹至17115元/吨，但隔夜收盘未能站稳万七，长上影显示上方抛盘压力。基本面上，矿和废电瓶延续供不应求，新国标抬升成本重心。部分原生铅炼厂复产，交割过后仓单货源入市，市场原生铅供应有望增加，不过期现价差320元/吨高位，精废价差200元/吨高位，更多隐性库存有望显性化；高价对需求形成负反馈，炼厂开工积极性较好，主要约束在原料供应，基本面对高铅价支撑不足。五一假期临近，跟踪下游刚需备货节奏，沪铅高位回调压力蓄积中，1.7万元/吨空单介入。
锡 -1  隔夜内外锡价震荡下调，市场等待印尼精锡出口数据。高社库下，预期虽向好，但短线锡价涨幅大，引发调整。消费端，IDC数据显示，一季度全球智能手机同比增长7.8、连续三个季度增长，支持中高端半导体正增长周期；国内3月集成电路产量同比增长28.5%，一季度累计增速达到40%。前期多头锁定部分盈利后，关注回调形态。
碳酸锂 -0.7  碳酸锂破位下杀，市场交投活跃。碳酸锂走跌主因宏观情绪走弱，自身过剩也是共识。现货快速走弱，电池级碳酸锂报价11.15万元，工业级碳酸锂报价10.87万元，工碳价差2800。部分正极企业存在原料长协供应缺口，青睐工业级碳酸锂等低价货源，但由于价差问题，近期采买低价电碳和氢氧化锂等以进行原料替代。下游近期持续补库，本周再增500吨至2万吨。技术上看，锂价破位，重回弱势震荡格局。
工业硅 0  工业硅主力小幅下行，收于11955元。现货价格，各品位硅价表现分化，其中华东通氧553价格在13250元/吨持稳，近期有机硅需求表现不佳，华东有机硅用421下跌50元至14100元/吨。成交有所好转，集中在新疆为主的北方产区，疆内多数小型硅企表现小幅去库，下游多晶硅价格虽处弱势，但产量仍在抬升，对工业硅消费持续贡献增量，盘面价格或已接近下游目标价位，再大幅降价可能性较小，走势或维持震荡。
铁矿 -0.7  铁矿石隔夜震荡，昨日现货价格下跌，基差维持低位。全球铁矿发运环比大幅回落，国内到港量继续高位增加，全国铁矿港口库存保持累库，累库速度相对缓慢。需求端，上周铁水产量继续增加，目前钢材库存压力缓解，钢厂利润尚可，预计铁水保持复产趋势，复产节奏依然不会太快。3月工业增加值等经济指标回落，市场情绪有所降温。短期来看，铁矿石需求边际好转，但基本面依然偏宽松，预计短期走势偏弱震荡。
焦炭 0  焦炭现货提涨首轮100落地，05合约交割博弈氛围减弱，期价随钢材情绪回落。需求端钢厂持续利润尚可，铁水产量仍有小增预期，对焦炭采购的压制力量减弱。供应端焦炭亏损较大，入炉煤成本同步快速反弹，低产导致产端库存压力不大，提供提涨底气。边际上来看，焦炭需求端已出现边际改善，供应端维持低位，现货拐点已确立。但远月期价有两轮左右的升水，钢价目前承接能力尚有限，暂看震荡盘整。
焦煤 0  焦煤现货迅速跟涨，远月期价表现较为坚挺。需求端铁水有持续的小幅提产，焦炭提涨首轮也对焦煤产生共振效应。供应端国内前期部分事故煤矿有所复产，整体焦煤矿在前期低产基础上小幅回升，尚能保持低产刚性状态。进口端，蒙煤因产销差通关稍有回落；澳煤持续大跌后结束倒挂，开始少量进口。整体来看，焦煤需求边际出现改善，贸易诉求加成，国产低供应刚性也给焦煤提供了较好的价格弹性。期价已涨至较显著升水，需要结合钢价情绪，警惕震荡回踩。
锰硅 -0.7  价格较为震荡。硅锰周度产量持续下行，铁水产量略微上行，硅锰市场库存仍在累增。化工焦跟随焦炭下跌，远期锰矿报价持稳，成本略有下行，锰矿方面，south32远期报盘没有氧化矿，判断锰矿5月份报盘价格大概率有所提升，进而从成本端影响硅锰价格。港口现货矿价格亦有提振。硅锰生产端设备检修陆续到期，产量近期或有所提升，区域间竞争将更加激烈。建议考虑期权策略进行套期保值，期货策略上建议反弹做空为主。
硅铁 0.7  价格较为震荡。铁水产量略微上行，出口需求预估较为乐观，供需边际改善，兰炭价格持续下调，周度日均产量进一步下行，硅铁库存开始小幅去化。后期关注硅铁去库速率，如果持续去库，价格或逐渐驻底。目前钢厂采购量仍低，短期内建议逢低试多，顺应市场对钢厂复产的情绪。
沥青 0  油价运行至高位后陷入震荡行情，沥青盘面跟随原油高位震荡下行，但现货因深度亏损炼厂无让利空间反而山东地区炼厂多日连续推涨至高位，现货走势相对偏强，山东基差大幅走强。沥青自身驱动不足，短期走势预计区间震荡为主，中长期关注库存去化后供应低位下利润修复行情。
尿素 -0.3  出口政策的放开逐步被市场消化，尿素现货涨势暂停，部分地区小幅下调报价。四月尿素日产小幅下滑，南方水稻用肥陆续启动，尿素企业出货良好；复合肥产量偏低，随但着后期开工负荷的提升，尿素需求有增加预期。短期市场坚挺运行，但行情受情绪面影响较大，考虑到目前国内出口价格较高，且国际尿素行情持续下跌，海外需求支撑不足，关注贸易商集港积极性。
甲醇 0  甲醇近期低库存以及五一节前下游补库，国内现货价格上涨为主，太仓现货价格2655元/吨。内地春检受煤制甲醇利润好转影响，或支撑部分企业延迟检修；西北企业周度签单减少，生产企业累库。甲醇短期供需矛盾不突出，江浙地区MTO产能利用率回升，以及港口低库存产生支撑，短期价格或维持震荡运行，关注宏观方面变动以及下游补库节奏。
PX&PTA&短纤 -1  昨日多套PX装置检修的消息提振市场，PX价格重心抬升。供需面改善，叠加油价高位盘整支撑，PX短期偏强；4-5月检修损失量较大叠加夏季汽油需求对芳烃的支持，二季度保持逢低买入思路，05交割之前有仓单预期扰动。恒力大连220万吨装置计划5月份检修，二季度新投和检修互相抵消，聚酯产能基数上升，开工回升，刚需较强，PTA跟随原料波动，加工差将持续承压。昨日短纤产销小幅放量，主要受原料涨价带动；价格涨幅落后于原料，加工差震荡偏弱，绝对价格波动依旧受成本主导。
玻璃 -1  现货产销回落，价格也进一步回落。原片涨价后，市场接受意愿降低，各区域产销均出现回落，其中沙河地区尤为明显。沙河贸易商兑现利润为主，由囤货转为出货，挤压玻璃厂出库。产能近期小幅收缩，进入4月份冷修了3条产线，净减少产能2100吨，当下煤炭石油焦和部分地区天然气利润尚可，产能依然高位运行态势。下游加工订单增加增量弱，未出现明显变化，普遍存在回款差的问题。需求未跟上，本轮补库持续性较短，期价仍是高位承压格局。
纯碱 0  现货价格坚挺，部分轻碱价格小幅上涨。周一库存小幅下降，下游玻璃厂进行适量补库，原料库存增加。河南金山减量检修，杭州龙山设备检修，河南骏化预计周末开车，供给预计整体震荡运行为主。光伏玻璃近期点火速度加快，浮法冷修增加，整体重碱刚需消耗增加，纯碱厂接单情况有所好转，下游刚需补库为主。09检修利好与供给压力博弈，期价或宽幅区间运行为主。
豆一 -1  美元指数加速上涨，施压商品价格，美豆隔夜收盘下跌。美豆开始播种，截止4月14日，美大豆播种进度3%，高于市场预期的2%，去年同期3%，五年均值1%，开局播种天气良好。CONAB下调巴西23/24大豆产量至1.465亿吨，整体维持丰产格局。国内现货市场情绪一般，基差持续稳定，华东市场价格-100基差，全国洼地。短期市场宏观影响较大，波动加剧，建议控制头寸和价格风险。
玉米 -1  美玉米价格偏弱但是波动有限，良好天气状况支撑巴西二茬玉米丰产预计，国际玉米基本面偏松。进入4月下旬，国内东北玉米逐步进入播种期，预计政策影响相比3月份有所减弱，市场逐步回归基本面交易。华中小麦产区降雨增加，市场短期炒作小麦减产预期。当前玉米东北产区天气整体健康，60天累计降雨量基本持平正常水平，温度进入回升通道。华北旧作库存压力和需求偏弱压力下，预计价格偏弱。
生猪 -1  生猪盘面午后快速下挫，主力合约延续跌势，跌幅超2%，高估值合约继续被打压。现货方面小幅走弱。未来一段时间生猪端的矛盾在于供应端加快释放节奏，因肥标价差收窄，生猪压栏增重模式或不可持续，而需求端仍将延续弱势格局。生猪现货端大概率滞涨或小幅回落。现货端压力传导至盘面近月，而远月合约由于对现货和近月均大幅升水，估值偏高，远月合约也存在一定的下行调整压力。当前建议高位空单继续持有。
鸡蛋 1  鸡蛋近月合约至主力9月均创出了新低，前期强势的远月合约也大幅回调。近期鸡蛋期货持仓不断上升，目前总持仓处在历史高位区间。从现货实际表现来看，近期老鸡淘汰略有加速，但由于养殖亏损幅度较小，尚未出现行业普遍淘汰的情形。我们认为盘面的交易机会或仍在偏高估值的合约，后期可能存在期现基差收敛的机会。
棉花 -0.7  昨天美棉大幅下跌，关注美棉在80美分附近的支撑情况，美棉近期周度签约数据偏弱，截至2024年4月14日当周，美国棉花种植率为8%，前一周为5%，去年同期为7%，五年均值为8%。郑棉夜盘有所下跌，国产棉交投保持清淡，低品质低基差走货相对较好，纯棉纱市场交投一般，价格持稳。下游开机总体持稳，近期棉纱需求有所好转，这也导致内外棉价走势分化主要原因，市场对于新年度普遍预计或继续小幅减产，但最终情况仍充满变数，新疆的棉花种植效益仍好于大多数农作物，且收益稳定。操作上，暂时观望或轻仓试空。
白糖 -0.8  美糖震荡下跌。今年雨季印度、泰国的降雨大概率增加，24/25榨季北半球的食糖产量预期较高，长期看对美糖形成一定压力。巴西方面，预计24/25榨季产糖量维持高位，关注制糖比例和单产变化。国内方面，郑糖弱势下跌。美糖大幅下跌使得配额外进口利润回升，后期国内进口量可能继续增加。另一方面，目前处于国产糖供应高峰，多种糖源供应充足。综合来看，基本面偏弱，预计郑糖继续弱势运行，操作上维持偏空思路。
苹果 -0.8  盘面增仓下跌。市场的交易重心转向新季苹果的产量，从目前的天气预报看，今年开花期间西北、山东产区天气较为正常，暂时没有寒潮天气的风险。另一方面，目前总体花量正常，个别地区花量偏少。因此，市场对于新季的产量预期偏空。综合来看，市场进入天气炒作期，目前天气风险较低，市场看空情绪增加，操作上维持偏空思路。
股指 0.5  昨日A股全天弱势下探，期指各主力合约全线收跌，IM领跌跌幅超3%，主力合约基差方面仅IM小幅贴水标的指数。一季度经济数据出炉，经济内生增长动能有所改善，国民经济开局良好。隔夜外盘方面欧美主要股指多数收跌，鲍威尔打压降息预期，银行、能源股普跌，美债收益率集体上涨，美元指数延续收涨。消息面上，证监会上市公司监管司司长就分红和退市有关问题答记者问时表示：本次退市指标调整旨在加大力度出清“僵尸空壳”，并非针对“小盘股”。在标准设置、过渡期安排等方面均做了稳妥安排，短期内不会对市场造成冲击。整体来看当前流动性环境对股票资产仍有一定压制，另外在地缘风险和资产荒逻辑有降温可能的情况下，周期板块可能逐步迎来阶段顶部。新“国九条”落地背景下，中期关注大市值价值板块表现，同时短期关注被“误伤”的小盘股可能的超跌反弹。
国债 1  国债期货延续高位震荡。统计局公布一季度经济数据，GDP超市场预期，表现良好。发言人表示国民经济开局良好，积极因素累积增多，为实现全年目标任务打下了较好基础。同时强调了外部环境复杂性、严峻性、不确定性上升。国债市场很快消化了经济数据，回归近期自身品种主线。人民币顺承压，市场情绪持续转弱。期货策略方面，单边回归震荡偏强格局，多品种对冲方面建议考虑曲线走平的策略。
黄金 0  隔夜国际金价高位震荡，白银跟随有色回调。昨日美联储主席鲍威尔讲话认为最近的数据显示今年通胀进展不足，对通胀信心的恢复可能需要更长时间，进一步压制降息预期，叠加伊以冲突以比较克制的形式落地，贵金属势头缓和并可能面临阶段性调整，建议多头逐渐止盈，等待再入场机会。
白银 0  隔夜国际金价高位震荡，白银跟随有色回调。昨日美联储主席鲍威尔讲话认为最近的数据显示今年通胀进展不足，对通胀信心的恢复可能需要更长时间，进一步压制降息预期，叠加伊以冲突以比较克制的形式落地，贵金属势头缓和并可能面临阶段性调整，建议多头逐渐止盈，等待再入场机会。
镍 1  沪镍大幅重挫，市场交投活跃。LME停止俄罗斯金属交易后，市场对于高价的接受度有限，开启快速下杀走势。美元近期的强势也引人注目，市场关于年内加息次数的预期可能在摇摆。现货来看，金川升水2050元，俄镍贴水300元，电积镍贴水扩至1400元。镍豆贴盘面约4000元每吨，硫酸镍升水镍豆3900元，结构性需求来看，三元电池需求复苏明显。库存方面，国内纯镍库存和不锈钢库存高，镍铁库存下滑。技术上看，镍价走势滞重，有反弹开空。
不锈钢 1  沪镍大幅重挫，市场交投活跃。LME停止俄罗斯金属交易后，市场对于高价的接受度有限，开启快速下杀走势。美元近期的强势也引人注目，市场关于年内加息次数的预期可能在摇摆。现货来看，金川升水2050元，俄镍贴水300元，电积镍贴水扩至1400元。镍豆贴盘面约4000元每吨，硫酸镍升水镍豆3900元，结构性需求来看，三元电池需求复苏明显。库存方面，国内纯镍库存和不锈钢库存高，镍铁库存下滑。技术上看，镍价走势滞重，有反弹开空。
螺纹 0  夜盘钢价窄幅震荡，下方仍有支撑。建材需求同比偏弱，环比表现尚可，低产量背景下螺纹去库较为顺畅，热卷去库缓慢，社库相对偏高。高炉延续复产态势，铁水继续小幅回升，原料快速反弹挤压利润，复产持续性有待观察。一季度经济开局良好，结构上继续分化，房地产大幅下滑仍是主要拖累，工业生产好转形成明显对冲。随着市场对正反馈预期降温，盘面上行阻力增大，预计短期震荡为主，关注宏观情绪变化。
热卷 0  夜盘钢价窄幅震荡，下方仍有支撑。建材需求同比偏弱，环比表现尚可，低产量背景下螺纹去库较为顺畅，热卷去库缓慢，社库相对偏高。高炉延续复产态势，铁水继续小幅回升，原料快速反弹挤压利润，复产持续性有待观察。一季度经济开局良好，结构上继续分化，房地产大幅下滑仍是主要拖累，工业生产好转形成明显对冲。随着市场对正反馈预期降温，盘面上行阻力增大，预计短期震荡为主，关注宏观情绪变化。
集运 0.8  当前市场呈现出的强势走势源于对旺季预期的持续表现。随着06、08旺季合约的期限结构发生扭转并呈现升水，过去一段时间的快速上行或有所放缓。后续来看，当前需求较好，部分航次大幅爆仓，船公司有提价的货量基础，马士基和达飞已宣布将5月的运价提高，其他船公司也有提价的可能，一旦市场形成了一致的提价行动，将会有效地支撑5月运价中枢的上涨，并进一步推动市场价格上涨。
燃油 0  高低硫价差年内波动已明显放缓，高硫燃料油支撑相对确定但旺季估值已偏高。低硫燃料油持续的供应压力为空配裂解价差继续提供安全边际，策略上关注反弹后再次空配低硫燃料油裂解价差。
低硫燃油 0  高低硫价差年内波动已明显放缓，高硫燃料油支撑相对确定但旺季估值已偏高。低硫燃料油持续的供应压力为空配裂解价差继续提供安全边际，策略上关注反弹后再次空配低硫燃料油裂解价差。
